form,city,ward,date,time,gender,seller_level_name,sellers_level_code,primary_drug_sold,secondary_drug_sold,3_stock_heroin_covid,3_stock_cocaine_covid,3_stock_meth_covid,4_g_heroin_sold_weekly_gms,4_g_cocaine_sold_weekly_gms,4_g_meth_sold_weekly_gms,5_heroin_sales_covid,5_cocaine_sales_covid,5_meth_sales,6_sell_to_sellers,6a_herion,6a_cocaine,6a_meth,6b_herion_units,6b_herion_g,6b_cocaine_units,6b_cocaine_g,6b_meth_units,6b_meth_grams,6c_herion,6c_cocaine,6c_meth,7_sell_to_users,7a_herion,7a_cocaine,7a_meth_,7b_herion_units,7b_herion_g,7b_cocaine_units,7b_cocaine_g,7b_meth_units,7b_meth_g,7c_herion,7c_cocaine,7c_meth,8_area_1,8_area_2,8_area_3,8_area_4,9_years_working,10_number_sellers_same_level,11_can_link
PTAKM010,pta,Mamelodi,16/09/2020,11h20,1,Snyman,2,1,0,1,,,10,,,2,,,0,,,,,,,,,,,,,1,10,,,2,0.4,,,,,3,,,Mamelodi,Hookely,,,3,5,0
PTAMLR011,pta,Mobopane station,16/09/2020,12h43,,Runner,1,1,0,0,,,50,,,2,,,0,,,,,,,,,,,,,1,45,,,2,0.4,,,,,3,,,Mabopane Sation,,,,3,19,0
PTARTS012,pta,Sosha BP,16/09/2020,12h00,1,Runner,1,1,2,1,1,,80,15,,2,2,,0,,,,,,,,,,,,,1,100,,,3,0.6,1,0.05,,,3,3,,,,,,4,10,0
PTAANZ013,pta,,17/09/2020,15h23,1,Spaceman,2,1,2,1,1,,100,20,,2,2,,0,,,,,,,,,,,,,1,50,40,,5,1,3,0.15,,,3,3,,Marabastadt,,,,,,0
PTAGM014,pta,Central,17/09/2020,11h20,1,Snyman,2,1,2,1,1,,56,7,,2,2,,0,,,,,,,,,,,,,1,30,41,,2,0.4,1,0.05,,,2,2,,Sammies Place,,,,4,14,1
PTACVS015,pta,,17/09/2020,11h15,1,Runner,1,1,2,1,1,,10,2.5,,0,2,,0,,,,,,,,,,,,,1,20,5,,2,0.4,2,0.1,,,3,3,,Danvilla,,,,5,15,0
PTAAJS016,pta,DanVille,17/09/2020,11h06,1,Runner,1,1,4,1,,1,12,,20,2,,2,0,,,,,,,,,,,,,1,30,,15,1,0.2,,,1,0.2,4,,4,Danville Kamers,,,,1,,0
PTAMRT017,pta,Attlyn,17/09/2020,15h20,1,Spaceman,2,2,1,1,1,,140,25,,0,2,,1,3,2,,100,20,30,1.5,,,2,2,,1,20,30,,3,0.6,1,0.05,,,3,3,,,,,,10,1,0
PTARJS018,pta,Atteridgeville,17/09/2020,12h10,1,Spaceman,2,1,2,1,1,,140,14,,2,2,,1,3,1,,100,20,20,1,,,3,2,,1,70,30,,3,0.6,1,0.05,,,3,3,,Graveyard AtteridgeVille,,,,15,2,0
PTATAM019,pta,Olivenhoud,17/09/2020,13h30,1,Snyman,2,1,2,0,0,,140,15,,2,2,,0,,,,,,,,,,,,,1,120,60,,4,0.8,2,0.1,,,3,3,,Olivenhoutbooch,,,,3,50,1
PTAZLT020,pta,Olivenhoud,17/09/2020,12h53,1,Makwera,2,1,2,1,1,,200,100,,2,2,,0,,,,,,,,,,,,,1,200,,,6,1.2,4,0.2,,,3,4,,Taxi rank,,,,5,6,0
